sku,produto,quantidade_vendida,primeiro_nome,sobrenome,data,loja,preco_unitario,data_ambigue,faturamento,nome_completo,ltv_cliente,quantidade_compra_cliente,ultima_compra_cliente,primeira_compra_cliente,dias_compra_cliente,ranking_cliente,dia,mes_num,mes,ano,faturamento_produto,rank_produto,faturamento_produto_mes_ano,rank_produto_mes_ano,percentual,percentual_acumulado,classe_abc,ultima_compra,dias_sem_comprar,cliente_inativo,ultima_venda,dias_sem_venda,produto_inativo
HL7348,SmartWatch,1,Amanda,Delgado,2018-10-22,Belo Horizonte,1400.0,False,1400.0,Amanda Delgado,146300.0,43,2018-12-18,2018-01-08,13,210,22,10,Out,2018,4172000.0,7,331800.0,7,0.04200584980794305,1.0,C,2018-12-18,13,False,2018-12-31,0,False
HL1918,iPhone,5,Isabella,Scalabrin,2018-06-13,Belo Horizonte,5300.0,False,26500.0,Isabella Scalabrin,115800.0,38,2018-12-11,2018-01-19,20,361,13,6,Jun,2018,47562200.0,1,4367200.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-11,20,False,2018-12-31,0,False
HL1918,iPhone,5,Guilherme,Monteiro,2018-07-07,Belo Horizonte,5300.0,False,26500.0,Guilherme Monteiro,192800.0,58,2018-12-17,2018-01-02,14,67,7,7,Jul,2018,47562200.0,1,4038600.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-17,14,False,2018-12-31,0,False
HL4379,Televisão,3,Isabel,Lacerda,2018-01-10,Belo Horizonte,2500.0,False,7500.0,Isabel Lacerda,41900.0,14,2018-09-23,2018-01-10,99,611,10,1,Jan,2018,14827500.0,2,1267500.0,2,0.14929092474287525,0.6281717084761804,A,2018-09-23,99,True,2018-12-31,0,False
HL2714,Tablet,4,Aline,Morais,2018-01-23,Belo Horizonte,1600.0,False,6400.0,Aline Morais,73300.0,27,2018-09-30,2018-01-23,92,550,23,1,Jan,2018,4673600.0,6,334400.0,7,0.0470562175604992,0.9579941501920569,C,2018-09-30,92,True,2018-12-31,0,False
HL2714,Tablet,2,Isabela,Rodrigues,2018-07-24,Belo Horizonte,1600.0,False,3200.0,Isabela Rodrigues,84500.0,34,2018-12-26,2018-01-13,5,501,24,7,Jul,2018,4673600.0,6,371200.0,7,0.0470562175604992,0.9579941501920569,C,2018-12-26,5,False,2018-12-31,0,False
HL4379,Televisão,3,Aline,Andrade,2018-10-07,Belo Horizonte,2500.0,False,7500.0,Aline Andrade,158900.0,46,2018-12-30,2018-01-10,1,156,7,10,Out,2018,14827500.0,2,1230000.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-30,1,False,2018-12-31,0,False
HL1918,iPhone,2,Raul,Junqueira,2018-09-24,Belo Horizonte,5300.0,False,10600.0,Raul Junqueira,212100.0,65,2018-12-23,2018-01-17,8,32,24,9,Set,2018,47562200.0,1,4218800.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-23,8,False,2018-12-31,0,False
HL2714,Tablet,1,Lucas,Lemos,2018-11-15,Belo Horizonte,1600.0,False,1600.0,Lucas Lemos,151700.0,40,2018-12-26,2018-01-26,5,185,15,11,Nov,2018,4673600.0,6,401600.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-26,5,False,2018-12-31,0,False
HL2714,Tablet,3,Leandro,Melo,2018-02-28,Belo Horizonte,1600.0,False,4800.0,Leandro Melo,136000.0,37,2018-12-11,2018-01-27,20,261,28,2,Fev,2018,4673600.0,6,380800.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-11,20,False,2018-12-31,0,False
HL1148,Câmera,2,Rogério,Gentile,2018-10-13,Belo Horizonte,2100.0,False,4200.0,Rogério Gentile,178000.0,56,2018-10-25,2018-02-24,67,101,13,10,Out,2018,5890500.0,5,434700.0,5,0.05930859498889946,0.9109379326315578,B,2018-10-25,67,False,2018-12-31,0,False
HL7348,SmartWatch,3,Julia,Aliani,2018-11-28,Belo Horizonte,1400.0,False,4200.0,Julia Aliani,139900.0,45,2018-11-28,2018-01-21,33,243,28,11,Nov,2018,4172000.0,7,326200.0,7,0.04200584980794305,1.0,C,2018-11-28,33,False,2018-12-31,0,False
HL1148,Câmera,4,Victor,Gomes,2018-05-08,Belo Horizonte,2100.0,False,8400.0,Victor Gomes,283100.0,81,2018-12-24,2018-01-09,7,4,8,5,Mai,2018,5890500.0,5,476700.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-24,7,False,2018-12-31,0,False
HL2714,Tablet,5,Luã,Sá,2018-04-16,Belo Horizonte,1600.0,False,8000.0,Luã Sá,130900.0,42,2018-12-29,2018-01-03,2,288,16,4,Abr,2018,4673600.0,6,428800.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-29,2,False,2018-12-31,0,False
HL1148,Câmera,3,Pedro,Santos,2018-12-24,Belo Horizonte,2100.0,False,6300.0,Pedro Santos,124400.0,43,2018-12-28,2018-01-27,3,314,24,12,Dez,2018,5890500.0,5,554400.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-28,3,False,2018-12-31,0,False
HL9962,Android,2,Thiago,Nóbrega,2018-11-11,Belo Horizonte,3400.0,False,6800.0,Thiago Nóbrega,133700.0,42,2018-11-13,2018-01-08,48,272,11,11,Nov,2018,10822200.0,4,1033600.0,3,0.10896349659432437,0.8516293376426582,B,2018-11-13,48,False,2018-12-31,0,False
HL4379,Televisão,4,Rafael,Portela,2018-02-27,Belo Horizonte,2500.0,False,10000.0,Rafael Portela,108800.0,29,2018-11-25,2018-01-20,36,397,27,2,Fev,2018,14827500.0,2,1367500.0,2,0.14929092474287525,0.6281717084761804,A,2018-11-25,36,False,2018-12-31,0,False
HL9962,Android,4,Ana,Silva,2018-10-13,Belo Horizonte,3400.0,False,13600.0,Ana Silva,197300.0,50,2018-12-29,2018-03-25,2,57,13,10,Out,2018,10822200.0,4,911200.0,3,0.10896349659432437,0.8516293376426582,B,2018-12-29,2,False,2018-12-31,0,False
HL8851,Notebook,4,João,Costa,2018-09-18,Belo Horizonte,3500.0,False,14000.0,João Costa,122000.0,37,2018-12-10,2018-01-28,21,325,18,9,Set,2018,11371500.0,3,976500.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-10,21,False,2018-12-31,0,False
HL1918,iPhone,4,Thomáz,Vannier,2018-03-05,Belo Horizonte,5300.0,False,21200.0,Thomáz Vannier,122000.0,29,2018-11-26,2018-02-07,35,325,5,3,Mar,2018,47562200.0,1,3699400.0,1,0.4788807837333051,0.4788807837333051,A,2018-11-26,35,False,2018-12-31,0,False
HL9962,Android,2,Paula,Carneiro,2018-05-26,Belo Horizonte,3400.0,False,6800.0,Paula Carneiro,98500.0,31,2018-11-05,2018-02-16,56,448,26,5,Mai,2018,10822200.0,4,907800.0,4,0.10896349659432437,0.8516293376426582,B,2018-11-05,56,False,2018-12-31,0,False
HL1918,iPhone,5,Ana,Carvalho,2018-06-19,Belo Horizonte,5300.0,False,26500.0,Ana Carvalho,185600.0,47,2018-12-31,2018-02-02,0,83,19,6,Jun,2018,47562200.0,1,4367200.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-31,0,False,2018-12-31,0,False
HL1918,iPhone,4,Felipe,Jorge,2018-08-02,Belo Horizonte,5300.0,False,21200.0,Felipe Jorge,62500.0,21,2018-12-31,2018-01-04,0,578,2,8,Ago,2018,47562200.0,1,3773600.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-31,0,False,2018-12-31,0,False
HL4379,Televisão,2,Daniel,Ortiz,2018-08-24,Belo Horizonte,2500.0,False,5000.0,Daniel Ortiz,165800.0,40,2018-10-08,2018-01-07,84,131,24,8,Ago,2018,14827500.0,2,1230000.0,2,0.14929092474287525,0.6281717084761804,A,2018-10-08,84,False,2018-12-31,0,False
HL9962,Android,5,Mônica,Rotolo,2018-02-02,Belo Horizonte,3400.0,False,17000.0,Mônica Rotolo,137500.0,44,2018-11-29,2018-01-15,32,255,2,2,Fev,2018,10822200.0,4,877200.0,3,0.10896349659432437,0.8516293376426582,B,2018-11-29,32,False,2018-12-31,0,False
HL1918,iPhone,5,Raphael,Rezende,2018-02-09,Belo Horizonte,5300.0,False,26500.0,Raphael Rezende,93100.0,21,2018-10-11,2018-02-09,81,472,9,2,Fev,2018,47562200.0,1,4102200.0,1,0.4788807837333051,0.4788807837333051,A,2018-10-11,81,False,2018-12-31,0,False
HL7348,SmartWatch,3,Anderson,Cavalcanti,2018-06-14,Belo Horizonte,1400.0,False,4200.0,Anderson Cavalcanti,94300.0,35,2018-12-02,2018-01-27,29,467,14,6,Jun,2018,4172000.0,7,319200.0,7,0.04200584980794305,1.0,C,2018-12-02,29,False,2018-12-31,0,False
HL1918,iPhone,2,Gustavo,Erthal,2018-08-09,Belo Horizonte,5300.0,False,10600.0,Gustavo Erthal,88900.0,21,2018-12-22,2018-04-05,9,486,9,8,Ago,2018,47562200.0,1,3773600.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-22,9,False,2018-12-31,0,False
HL9962,Android,4,Ana,Fioretti,2018-10-23,Belo Horizonte,3400.0,False,13600.0,Ana Fioretti,89500.0,19,2018-12-18,2018-01-01,13,482,23,10,Out,2018,10822200.0,4,911200.0,3,0.10896349659432437,0.8516293376426582,B,2018-12-18,13,False,2018-12-31,0,False
HL2714,Tablet,3,Amanda,Procaci,2018-03-12,Belo Horizonte,1600.0,False,4800.0,Amanda Procaci,106100.0,43,2018-12-28,2018-01-10,3,409,12,3,Mar,2018,4673600.0,6,387200.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-28,3,False,2018-12-31,0,False
HL1918,iPhone,3,Carolina,Costa,2018-09-17,Belo Horizonte,5300.0,False,15900.0,Carolina Costa,106200.0,33,2018-09-17,2018-02-27,105,408,17,9,Set,2018,47562200.0,1,4218800.0,1,0.4788807837333051,0.4788807837333051,A,2018-09-17,105,True,2018-12-31,0,False
HL4379,Televisão,4,Carolina,Siqueira,2018-08-01,Belo Horizonte,2500.0,False,10000.0,Carolina Siqueira,121700.0,39,2018-11-24,2018-02-16,37,328,1,8,Ago,2018,14827500.0,2,1230000.0,2,0.14929092474287525,0.6281717084761804,A,2018-11-24,37,False,2018-12-31,0,False
HL1918,iPhone,2,Igor,Azevedo,2018-06-08,Belo Horizonte,5300.0,False,10600.0,Igor Azevedo,60100.0,20,2018-09-23,2018-01-03,99,583,8,6,Jun,2018,47562200.0,1,4367200.0,1,0.4788807837333051,0.4788807837333051,A,2018-09-23,99,True,2018-12-31,0,False
HL1918,iPhone,4,Karine,Barros,2018-03-22,Belo Horizonte,5300.0,False,21200.0,Karine Barros,60400.0,18,2018-11-16,2018-01-07,45,582,22,3,Mar,2018,47562200.0,1,3699400.0,1,0.4788807837333051,0.4788807837333051,A,2018-11-16,45,False,2018-12-31,0,False
HL4379,Televisão,1,Pedro,Costa,2018-03-27,Belo Horizonte,2500.0,False,2500.0,Pedro Costa,142400.0,34,2018-12-28,2018-02-28,3,228,27,3,Mar,2018,14827500.0,2,1337500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-28,3,False,2018-12-31,0,False
HL8851,Notebook,4,Arthur,Rocha,2018-11-25,Belo Horizonte,3500.0,False,14000.0,Arthur Rocha,100700.0,26,2018-11-25,2018-01-27,36,439,25,11,Nov,2018,11371500.0,3,955500.0,4,0.1144941325721535,0.7426658410483339,A,2018-11-25,36,False,2018-12-31,0,False
HL7348,SmartWatch,2,Natalia,Accioly,2018-08-07,Belo Horizonte,1400.0,False,2800.0,Natalia Accioly,153100.0,38,2018-10-25,2018-01-15,67,180,7,8,Ago,2018,4172000.0,7,340200.0,7,0.04200584980794305,1.0,C,2018-10-25,67,False,2018-12-31,0,False
HL4379,Televisão,5,Raíssa,Oros,2018-02-17,Belo Horizonte,2500.0,False,12500.0,Raíssa Oros,124800.0,36,2018-12-31,2018-01-01,0,313,17,2,Fev,2018,14827500.0,2,1367500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-31,0,False,2018-12-31,0,False
HL4379,Televisão,1,Katharina,Barros,2018-02-16,Belo Horizonte,2500.0,False,2500.0,Katharina Barros,149900.0,47,2018-12-14,2018-01-03,17,193,16,2,Fev,2018,14827500.0,2,1367500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-14,17,False,2018-12-31,0,False
HL4379,Televisão,1,Lara,Moreira,2018-10-25,Belo Horizonte,2500.0,False,2500.0,Lara Moreira,175900.0,55,2018-12-23,2018-01-02,8,103,25,10,Out,2018,14827500.0,2,1230000.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-23,8,False,2018-12-31,0,False
HL1148,Câmera,2,Carlos,Mesquita,2018-01-11,Belo Horizonte,2100.0,False,4200.0,Carlos Mesquita,150200.0,46,2018-12-19,2018-01-11,12,192,11,1,Jan,2018,5890500.0,5,487200.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-19,12,False,2018-12-31,0,False
HL1918,iPhone,1,Carolina,Bernardes,2018-03-25,Belo Horizonte,5300.0,False,5300.0,Carolina Bernardes,118200.0,35,2018-11-04,2018-02-11,57,347,25,3,Mar,2018,47562200.0,1,3699400.0,1,0.4788807837333051,0.4788807837333051,A,2018-11-04,57,False,2018-12-31,0,False
HL1918,iPhone,3,Marcela,Gasperi,2018-12-31,Belo Horizonte,5300.0,False,15900.0,Marcela Gasperi,203100.0,56,2018-12-31,2018-01-12,0,42,31,12,Dez,2018,47562200.0,1,4234700.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-31,0,False,2018-12-31,0,False
HL8851,Notebook,1,Gustavo,Junior,2018-04-12,Belo Horizonte,3500.0,False,3500.0,Gustavo Junior,127600.0,36,2018-12-06,2018-02-23,25,299,12,4,Abr,2018,11371500.0,3,938000.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-06,25,False,2018-12-31,0,False
HL1918,iPhone,4,Matheus,Silva,2018-07-03,Belo Horizonte,5300.0,False,21200.0,Matheus Silva,252700.0,69,2018-10-28,2018-01-14,64,10,3,7,Jul,2018,47562200.0,1,4038600.0,1,0.4788807837333051,0.4788807837333051,A,2018-10-28,64,False,2018-12-31,0,False
HL1148,Câmera,1,Danilo,Mendonça,2018-04-19,Belo Horizonte,2100.0,False,2100.0,Danilo Mendonça,81400.0,27,2018-10-08,2018-01-25,84,514,19,4,Abr,2018,5890500.0,5,453600.0,5,0.05930859498889946,0.9109379326315578,B,2018-10-08,84,False,2018-12-31,0,False
HL1918,iPhone,4,Wen,Braga,2018-05-01,Belo Horizonte,5300.0,False,21200.0,Wen Braga,101200.0,32,2018-12-17,2018-01-03,14,434,1,5,Mai,2018,47562200.0,1,3540400.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-17,14,False,2018-12-31,0,False
HL1918,iPhone,3,Gabriel,Brito,2018-04-28,Belo Horizonte,5300.0,False,15900.0,Gabriel Brito,122800.0,33,2018-12-08,2018-01-03,23,321,28,4,Abr,2018,47562200.0,1,3699400.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-08,23,False,2018-12-31,0,False
HL7348,SmartWatch,4,Jonatas,Passos,2018-08-14,Belo Horizonte,1400.0,False,5600.0,Jonatas Passos,108800.0,37,2018-12-20,2018-04-11,11,397,14,8,Ago,2018,4172000.0,7,340200.0,7,0.04200584980794305,1.0,C,2018-12-20,11,False,2018-12-31,0,False
HL1918,iPhone,1,Gabriel,Rocha,2018-06-11,Belo Horizonte,5300.0,False,5300.0,Gabriel Rocha,140500.0,35,2018-10-27,2018-01-09,65,240,11,6,Jun,2018,47562200.0,1,4367200.0,1,0.4788807837333051,0.4788807837333051,A,2018-10-27,65,False,2018-12-31,0,False
HL9962,Android,4,Beatriz,Rocha,2018-01-11,Belo Horizonte,3400.0,False,13600.0,Beatriz Rocha,159100.0,60,2018-12-28,2018-01-11,3,155,11,1,Jan,2018,10822200.0,4,935000.0,4,0.10896349659432437,0.8516293376426582,B,2018-12-28,3,False,2018-12-31,0,False
HL4379,Televisão,1,Adrielle,Gabriel,2018-04-08,Belo Horizonte,2500.0,False,2500.0,Adrielle Gabriel,146700.0,47,2018-12-30,2018-01-03,1,206,8,4,Abr,2018,14827500.0,2,1107500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-30,1,False,2018-12-31,0,False
HL8851,Notebook,1,Caroll,Johnson,2018-12-11,Belo Horizonte,3500.0,False,3500.0,Caroll Johnson,90600.0,34,2018-12-15,2018-01-16,16,479,11,12,Dez,2018,11371500.0,3,938000.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-15,16,False,2018-12-31,0,False
HL4379,Televisão,4,Bruna,Franco,2018-10-26,Belo Horizonte,2500.0,False,10000.0,Bruna Franco,111500.0,31,2018-12-30,2018-05-12,1,381,26,10,Out,2018,14827500.0,2,1230000.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-30,1,False,2018-12-31,0,False
HL2714,Tablet,4,Maria,Motta,2018-05-08,Belo Horizonte,1600.0,False,6400.0,Maria Motta,112500.0,39,2018-12-07,2018-02-27,24,378,8,5,Mai,2018,4673600.0,6,388800.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-07,24,False,2018-12-31,0,False
HL1918,iPhone,3,Priscila,Garcia,2018-10-24,Belo Horizonte,5300.0,False,15900.0,Priscila Garcia,165200.0,48,2018-12-29,2018-02-01,2,135,24,10,Out,2018,47562200.0,1,3980300.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-29,2,False,2018-12-31,0,False
HL1918,iPhone,5,Andressa,Nóbrega,2018-09-18,Belo Horizonte,5300.0,False,26500.0,Andressa Nóbrega,143200.0,39,2018-11-03,2018-02-22,58,224,18,9,Set,2018,47562200.0,1,4218800.0,1,0.4788807837333051,0.4788807837333051,A,2018-11-03,58,False,2018-12-31,0,False
HL4379,Televisão,2,Ana,Miura,2018-07-24,Belo Horizonte,2500.0,False,5000.0,Ana Miura,78500.0,18,2018-11-29,2018-05-10,32,530,24,7,Jul,2018,14827500.0,2,1370000.0,2,0.14929092474287525,0.6281717084761804,A,2018-11-29,32,False,2018-12-31,0,False
HL8851,Notebook,2,Giulia,Pessanha,2018-11-13,Belo Horizonte,3500.0,False,7000.0,Giulia Pessanha,114200.0,32,2018-11-20,2018-02-21,41,370,13,11,Nov,2018,11371500.0,3,955500.0,4,0.1144941325721535,0.7426658410483339,A,2018-11-20,41,False,2018-12-31,0,False
HL7348,SmartWatch,3,Samara,Pinto,2018-01-10,Belo Horizonte,1400.0,False,4200.0,Samara Pinto,196400.0,59,2018-12-23,2018-01-10,8,59,10,1,Jan,2018,4172000.0,7,375200.0,6,0.04200584980794305,1.0,C,2018-12-23,8,False,2018-12-31,0,False
HL4379,Televisão,4,Caio,Silva,2018-11-21,Belo Horizonte,2500.0,False,10000.0,Caio Silva,235200.0,82,2018-12-23,2018-01-06,8,18,21,11,Nov,2018,14827500.0,2,1115000.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-23,8,False,2018-12-31,0,False
HL7348,SmartWatch,1,Myllena,Carneiro,2018-01-22,Belo Horizonte,1400.0,False,1400.0,Myllena Carneiro,136000.0,37,2018-12-30,2018-01-07,1,261,22,1,Jan,2018,4172000.0,7,375200.0,6,0.04200584980794305,1.0,C,2018-12-30,1,False,2018-12-31,0,False
HL9962,Android,3,Juan,Fernandes,2018-01-09,Belo Horizonte,3400.0,False,10200.0,Juan Fernandes,130500.0,38,2018-12-21,2018-01-09,10,290,9,1,Jan,2018,10822200.0,4,935000.0,4,0.10896349659432437,0.8516293376426582,B,2018-12-21,10,False,2018-12-31,0,False
HL1148,Câmera,4,Raphael,Mattos,2018-06-22,Belo Horizonte,2100.0,False,8400.0,Raphael Mattos,82100.0,34,2018-12-30,2018-01-02,1,511,22,6,Jun,2018,5890500.0,5,493500.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-30,1,False,2018-12-31,0,False
HL9962,Android,3,Gustavo,Junior,2018-02-23,Belo Horizonte,3400.0,False,10200.0,Gustavo Junior,127600.0,36,2018-12-06,2018-02-23,25,299,23,2,Fev,2018,10822200.0,4,877200.0,3,0.10896349659432437,0.8516293376426582,B,2018-12-06,25,False,2018-12-31,0,False
HL1148,Câmera,2,Célio,Xavier,2018-06-06,Belo Horizonte,2100.0,False,4200.0,Célio Xavier,164600.0,55,2018-12-30,2018-01-06,1,137,6,6,Jun,2018,5890500.0,5,493500.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-30,1,False,2018-12-31,0,False
HL2714,Tablet,4,Diego,Rodrigues,2018-10-13,Belo Horizonte,1600.0,False,6400.0,Diego Rodrigues,125400.0,42,2018-12-16,2018-02-12,15,310,13,10,Out,2018,4673600.0,6,433600.0,6,0.0470562175604992,0.9579941501920569,C,2018-12-16,15,False,2018-12-31,0,False
HL1148,Câmera,5,Guilherme,Monteiro,2018-05-18,Belo Horizonte,2100.0,False,10500.0,Guilherme Monteiro,192800.0,58,2018-12-17,2018-01-02,14,67,18,5,Mai,2018,5890500.0,5,476700.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-17,14,False,2018-12-31,0,False
HL1148,Câmera,1,Anderson,Martins,2018-04-22,Belo Horizonte,2100.0,False,2100.0,Anderson Martins,134300.0,32,2018-12-25,2018-01-29,6,268,22,4,Abr,2018,5890500.0,5,453600.0,5,0.05930859498889946,0.9109379326315578,B,2018-12-25,6,False,2018-12-31,0,False
HL9962,Android,1,Júlia,Almeida,2018-12-06,Belo Horizonte,3400.0,False,3400.0,Júlia Almeida,100100.0,35,2018-12-06,2018-01-05,25,442,6,12,Dez,2018,10822200.0,4,918000.0,4,0.10896349659432437,0.8516293376426582,B,2018-12-06,25,False,2018-12-31,0,False
HL2714,Tablet,2,Carolina,Motta,2018-08-06,Belo Horizonte,1600.0,False,3200.0,Carolina Motta,131800.0,45,2018-10-20,2018-01-05,72,283,6,8,Ago,2018,4673600.0,6,342400.0,6,0.0470562175604992,0.9579941501920569,C,2018-10-20,72,False,2018-12-31,0,False
HL9962,Android,5,Bernardo,Nauenberg,2018-02-21,Belo Horizonte,3400.0,False,17000.0,Bernardo Nauenberg,202700.0,54,2018-12-25,2018-02-10,6,44,21,2,Fev,2018,10822200.0,4,877200.0,3,0.10896349659432437,0.8516293376426582,B,2018-12-25,6,False,2018-12-31,0,False
HL4379,Televisão,4,Giuseppe,Bhering,2018-05-13,Belo Horizonte,2500.0,False,10000.0,Giuseppe Bhering,159100.0,47,2018-12-17,2018-01-07,14,155,13,5,Mai,2018,14827500.0,2,1075000.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-17,14,False,2018-12-31,0,False
HL2714,Tablet,3,Chan,Santos,2018-06-20,Belo Horizonte,1600.0,False,4800.0,Chan Santos,99000.0,36,2018-11-28,2018-01-03,33,446,20,6,Jun,2018,4673600.0,6,390400.0,6,0.0470562175604992,0.9579941501920569,C,2018-11-28,33,False,2018-12-31,0,False
HL1918,iPhone,2,Rafaela,Ferreira,2018-09-14,Belo Horizonte,5300.0,False,10600.0,Rafaela Ferreira,210200.0,52,2018-12-28,2018-01-10,3,34,14,9,Set,2018,47562200.0,1,4218800.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-28,3,False,2018-12-31,0,False
HL8851,Notebook,5,Erick,Soares,2018-12-08,Belo Horizonte,3500.0,False,17500.0,Erick Soares,149800.0,43,2018-12-31,2018-01-24,0,194,8,12,Dez,2018,11371500.0,3,938000.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-31,0,False,2018-12-31,0,False
HL8851,Notebook,5,Jéssica,Resinente,2018-05-08,Belo Horizonte,3500.0,False,17500.0,Jéssica Resinente,59000.0,27,2018-12-24,2018-01-13,7,584,8,5,Mai,2018,11371500.0,3,934500.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-24,7,False,2018-12-31,0,False
HL9962,Android,2,Hanna,Fonseca,2018-11-16,Belo Horizonte,3400.0,False,6800.0,Hanna Fonseca,157600.0,52,2018-12-31,2018-03-14,0,162,16,11,Nov,2018,10822200.0,4,1033600.0,3,0.10896349659432437,0.8516293376426582,B,2018-12-31,0,False,2018-12-31,0,False
